€625,000 	 Curraghmore, Belcarra, Castlebar, Co Mayo
Reserve Not To Exceed €110,000 	 Riverbank House, Bachelors Walk, Abbeyhalfquarter, Ballina, Co. Mayo
€115,000 	 Croghan, Killala, Mayo
€195,000 	 Carrowbaun, Westport, Co Mayo, F28K298
€235,000 	 3 Rosmore, Newport, Co Mayo, F28 VF38
AMV €245,000  -€30,000 on 5th Oct 19 	 ONLINE AUCTION Camcloon More, Newport, Mayo
€250,000 	 Roonith, Louisburgh, Mayo
€125,000 	 8 Rathkelly , Ballinrobe, Mayo
€179,500 	 5 Ballyhaunis Road, Knock, Co. Mayo
€175,000 	 1 Cinnamon Wharf, The Quay, Westport, Co Mayo, F28 K6W8
Reserve Not To Exceed €15,000 	 Ballymunnelly (Folio MY14396F), Bellacorick, Co. Mayo
Reserve Not To Exceed €130,000 	 Loughrusheen, Castlebar, Co. Mayo
€198,000 	 13 Church Manor, Ballina, Mayo
€110,000 	 Cappaghduff East, Tourmakeady, Mayo
€215,000 	 12 Rushbrook, Claremorris, Mayo
€120,000 	 Knockfin, Westport, Mayo
Reserve Not To Exceed €80,000 	 April Cottage (Folio MY51001F), Balloughadalla, Killala, Co. Mayo
Reserve Not To Exceed €40,000 	 5A and 5B, Main Street, Ballyhaunis, Co. Mayo
€45,000 	 Main Street, Ballycastle, Mayo
€40,000 	 Site For Sale Rathruane, Bohola, Castlebar, Mayo
€435,000 	 Kilgeever, Louisburgh, Mayo
